mu_feedback;init_stress_influx;init_influx;mu_stress_influx;ad;Npop;zmax;init_feedback;cue_NP;cue_P;seed;gamma2;mu_influx;sNP2P_2;u;sP2NP_2;sNP2P_1;sP2NP_1;aP;gamma1;r;s0;dmax;generation;freq_P;mean_feedback;mean_stress_influx;mean_influx;mean_hormone;mean_damage;var_feedback;var_stress_influx;var_influx;var_hormone;var_damage;file
0.02;10;2;0.02;0.5;5000;100;1;0.08;0.5;458848601;0.1;0.02;0.01;0.5;0.02;0.005;0.01;0.5;0.1;0.1;0.5;100;5000000;0.0132;0.298274;7.73944;5.89352;21.3828;89.8358;0.000373628;0.00282886;0.00602655;18.037;496.271;./core_0/sim_stress_27_2_2019_172309_457607687
0.02;10;2;0.02;0.5;5000;100;1;0.08;0.5;429720104;0.1;0.02;0.01;1;0.02;0.005;0.01;0.5;0.1;0.1;0.5;100;5000000;0.0296;0.765435;5.53958;6.89975;9.53829;85.0758;0.00107101;0.00508323;0.00459602;4.03022;469.24;./core_1/sim_stress_27_2_2019_172309_429374881
0.02;10;2;0.02;0.5;5000;100;1;0.08;0.5;426850464;0.1;0.02;0.01;10;0.02;0.005;0.01;0.5;0.1;0.1;0.5;100;5000000;0.1112;0.996706;2.60075;0.00313203;0.307727;24.5124;3.29484e-05;0.00503831;3.44966e-05;0.699683;510.265;./core_2/sim_stress_27_2_2019_172309_426462610
0.02;10;2;0.02;0.5;5000;100;1;0.08;0.5;459359541;0.1;0.02;0.01;0.5;0.02;0.005;0.01;0.5;0.1;0.5;0.5;100;5000000;0.0106;0.0129071;9.88063;5.8099;92.0497;91.3012;0.000135525;0.0555213;0.00415891;521.732;581.248;./core_3/sim_stress_27_2_2019_172309_457920960
0.02;10;2;0.02;0.5;5000;100;1;0.08;0.5;459167392;0.1;0.02;0.01;1;0.02;0.005;0.01;0.5;0.1;0.5;0.5;100;5000000;0.0128;0.112398;8.03067;5.82452;53.7802;92.2958;0.000200922;0.079937;0.0038014;210.912;426.083;./core_4/sim_stress_27_2_2019_172309_457778422
0.02;10;2;0.02;0.5;5000;100;1;0.08;0.5;432980651;0.1;0.02;0.01;10;0.02;0.005;0.01;0.5;0.1;0.5;0.5;100;5000000;0.0716;0.995447;6.01597;0.00452986;0.622146;11.9743;4.5846e-05;0.0020489;5.9703e-05;3.32291;478.225;./core_5/sim_stress_27_2_2019_172309_432622275
0.02;10;2;0.02;0.5;5000;100;1;0.08;0.5;157489607;0.1;0.02;0.01;0.5;0.02;0.005;0.01;0.5;0.1;0.9;0.5;100;5000000;0.0094;0.0135036;11.2324;6.2152;91.7043;50.8831;0.000148686;0.0073191;0.00829427;499.119;156.927;./core_6/sim_stress_27_2_2019_172309_156962701
0.02;10;2;0.02;0.5;5000;100;1;0.08;0.5;998840720;0.1;0.02;0.01;1;0.02;0.005;0.01;0.5;0.1;0.9;0.5;100;5000000;0.0068;0.0127096;9.76413;6.00477;95.4491;95.818;0.000153212;0.0289402;0.01007;294.69;275.322;./core_7/sim_stress_27_2_2019_172308_998466315
0.02;10;2;0.02;0.5;5000;100;1;0.08;0.5;245048689;0.1;0.02;0.01;10;0.02;0.005;0.01;0.5;0.1;0.9;0.5;100;5000000;0.0672;0.995297;8.90167;0.00616384;0.910941;10.1044;4.8825e-05;0.00264079;7.43637e-05;7.20935;737.811;./core_8/sim_stress_27_2_2019_172309_244701492
0.02;10;2;0.02;0.5;5000;100;1;0.08;0.8;100361449;0.1;0.02;0.01;0.5;0.02;0.005;0.01;0.5;0.1;0.1;0.5;100;5000000;0.0096;0.260939;6.97778;5.30375;22.0022;93.1577;0.00032964;0.00296657;0.00580844;18.0967;397.232;./core_9/sim_stress_27_2_2019_172309_99832013
0.02;10;2;0.02;0.5;5000;100;1;0.08;0.8;167086762;0.1;0.02;0.01;1;0.02;0.005;0.01;0.5;0.1;0.1;0.5;100;5000000;0.0326;0.694234;4.81741;6.37343;9.72273;86.447;0.00105879;0.00987729;0.0150278;3.98255;463.519;./core_10/sim_stress_27_2_2019_172309_166758477
0.02;10;2;0.02;0.5;5000;100;1;0.08;0.8;424141100;0.1;0.02;0.01;10;0.02;0.005;0.01;0.5;0.1;0.1;0.5;100;5000000;0.0916;0.981211;1.12733;0.444244;0.618994;52.6651;0.000294888;0.00161503;0.00104344;0.168039;284.352;./core_11/sim_stress_27_2_2019_172309_423652649
0.02;10;2;0.02;0.5;5000;100;1;0.08;0.8;458885250;0.1;0.02;0.01;0.5;0.02;0.005;0.01;0.5;0.1;0.5;0.5;100;5000000;0.0096;0.0142972;10.4837;5.81233;90.6957;89.8453;0.000149678;0.00648983;0.00725739;586.903;659.537;./core_12/sim_stress_27_2_2019_172309_457608937
0.02;10;2;0.02;0.5;5000;100;1;0.08;0.8;232380602;0.1;0.02;0.01;1;0.02;0.005;0.01;0.5;0.1;0.5;0.5;100;5000000;0.0148;0.115591;9.16115;6.54562;58.9887;92.7424;0.000286365;0.00548372;0.00239418;292.22;457.504;./core_13/sim_stress_27_2_2019_172309_231992105
0.02;10;2;0.02;0.5;5000;100;1;0.08;0.8;957221812;0.1;0.02;0.01;10;0.02;0.005;0.01;0.5;0.1;0.5;0.5;100;5000000;0.0332;0.985357;5.2684;0.0174022;0.539125;10.4286;0.000162679;0.00558672;0.000267195;2.45024;385.978;./core_14/sim_stress_27_2_2019_172308_956637764
0.02;10;2;0.02;0.5;5000;100;1;0.08;0.8;158852682;0.1;0.02;0.01;0.5;0.02;0.005;0.01;0.5;0.1;0.9;0.5;100;5000000;0.0108;0.0123618;9.51274;6.60279;91.5162;50.7881;0.00013377;0.0182792;0.00403637;556.028;174.403;./core_15/sim_stress_27_2_2019_172309_158451967
0.02;10;2;0.02;0.5;5000;100;1;0.08;0.8;97288527;0.1;0.02;0.01;1;0.02;0.005;0.01;0.5;0.1;0.9;0.5;100;5000000;0.0032;0.0180727;11.1251;5.94616;95.7135;96.1022;0.000197348;0.0151547;0.00574575;275.051;256.827;./core_16/sim_stress_27_2_2019_172309_96915496
0.02;10;2;0.02;0.5;5000;100;1;0.08;0.8;164995591;0.1;0.02;0.01;10;0.02;0.005;0.01;0.5;0.1;0.9;0.5;100;5000000;0.039;0.985932;8.94028;0.0228063;0.963267;10.6134;0.00015408;0.00162036;0.0006538;7.4638;773.028;./core_17/sim_stress_27_2_2019_172309_164399277
0.02;10;2;0.02;0.5;5000;100;1;0.08;0.5;459585319;0.1;0.02;0.04;0.5;0.02;0.02;0.01;0.5;0.1;0.1;0.5;100;5000000;0.1248;0.552823;0.0709843;9.22888;15.4149;62.0573;0.001748;0.00146373;0.00329954;17.0585;849.832;./core_18/sim_stress_27_2_2019_172309_458140412
0.02;10;2;0.02;0.5;5000;100;1;0.08;0.5;420794727;0.1;0.02;0.04;1;0.02;0.02;0.01;0.5;0.1;0.1;0.5;100;5000000;0.1736;0.94536;0.0655008;9.33413;9.27971;68.902;0.000808298;0.00144956;0.00595564;5.47695;1058.71;./core_19/sim_stress_27_2_2019_172309_420436416
0.02;10;2;0.02;0.5;5000;100;1;0.08;0.5;157890898;0.1;0.02;0.04;10;0.02;0.02;0.01;0.5;0.1;0.1;0.5;100;5000000;0.4712;0.996482;1.76087;0.00183154;0.449421;30.2975;4.63336e-05;0.00191836;2.04735e-05;0.587873;705.278;./core_20/sim_stress_27_2_2019_172309_157152382
0.02;10;2;0.02;0.5;5000;100;1;0.08;0.5;974610085;0.1;0.02;0.04;0.5;0.02;0.02;0.01;0.5;0.1;0.5;0.5;100;5000000;0.1638;0.429895;1.30935;9.18132;18.7555;17.781;0.00185268;0.00691029;0.0139176;43.0827;52.58;./core_21/sim_stress_27_2_2019_172308_974269711
0.02;10;2;0.02;0.5;5000;100;1;0.08;0.5;255634284;0.1;0.02;0.04;1;0.02;0.02;0.01;0.5;0.1;0.5;0.5;100;5000000;0.1218;0.389977;0.480964;7.6465;17.8667;34.6486;0.00172293;0.0102592;0.00664946;29.8793;145.368;./core_22/sim_stress_27_2_2019_172309_255263608
