mu_influx;r;mu_feedback;s0;init_stress_influx;cue_P;zmax;aP;init_feedback;sP2NP_2;sNP2P_2;u;dmax;cue_NP;Npop;init_influx;ad;sNP2P_1;mu_stress_influx;sP2NP_1;gamma1;seed;gamma2;generation;freq_P;mean_feedback;mean_stress_influx;mean_influx;mean_hormone;mean_damage;var_feedback;var_stress_influx;var_influx;var_hormone;var_damage;prop_dead;file
0.02;0.9;0.02;0.5;10;0.1;100;0.5;1;0;0;1;100;0;5000;2;0.5;0;0.02;0;0.1;701231842;0.1;5000000;0;1;10;2;2;2.22222;0;0;0;0;-1.4424e-12;0;./core_0/sim_stress_23_3_2019_000858_700675124
0.02;0.9;0.02;0.5;10;0.1;100;0.5;1;0;0;1;100;0.05;5000;2;0.5;0;0.02;0;0.1;333560168;0.1;5000000;0;1;10;2;2.526;2.80349;0;0;0;4.98332;5.01259;0;./core_0/sim_stress_23_3_2019_003806_333191899
0.02;0.9;0.02;0.5;10;0.1;100;0.5;1;0;0;1;100;0.1;5000;2;0.5;0;0.02;0;0.1;251351420;0.1;5000000;0;1;10;2;2.94;3.27673;0;0;0;8.5164;8.54127;0;./core_0/sim_stress_23_3_2019_010749_250974719
0.02;0.9;0.02;0.5;10;0.1;100;0.5;1;0;0;1;100;0.2;5000;2;0.5;0;0.02;0;0.1;997995078;0.1;5000000;0;1;10;2;3.936;4.37415;0;0;0;15.6119;15.7604;0;./core_0/sim_stress_23_3_2019_013810_997689596
0.02;0.9;0.02;0.5;10;0.1;100;0.5;1;0;0;1;100;0.3;5000;2;0.5;0;0.02;0;0.1;367255511;0.1;5000000;0;1;10;2;4.926;5.48017;0;0;0;20.6985;20.9137;0;./core_0/sim_stress_23_3_2019_020956_366992670
0.02;0.9;0.02;0.5;10;0.1;100;0.5;1;0;0;1;100;0.4;5000;2;0.5;0;0.02;0;0.1;105609039;0.1;5000000;0;1;10;2;6.026;6.69939;0;0;0;24.0513;24.2366;0;./core_0/sim_stress_23_3_2019_024255_105272224
0.02;0.9;0.02;0.5;10;0.2;100;0.5;1;0;0;1;100;0;5000;2;0.5;0;0.02;0;0.1;357417899;0.1;5000000;0;1;10;2;2;2.22222;0;0;0;0;-1.4424e-12;0;./core_0/sim_stress_23_3_2019_031628_357134371
0.02;0.9;0.02;0.5;10;0.2;100;0.5;1;0;0;1;100;0.05;5000;2;0.5;0;0.02;0;0.1;739975480;0.1;5000000;0;1;10;2;2.55;2.82917;0;0;0;5.1975;5.21298;0;./core_0/sim_stress_23_3_2019_034532_739558964
0.02;0.9;0.02;0.5;10;0.2;100;0.5;1;0;0;1;100;0.1;5000;2;0.5;0;0.02;0;0.1;827683424;0.1;5000000;0;1;10;2;2.904;3.23803;0;0;0;8.22278;8.30892;0;./core_0/sim_stress_23_3_2019_041522_827297903
0.02;0.9;0.02;0.5;10;0.2;100;0.5;1;0;0;1;100;0.2;5000;2;0.5;0;0.02;0;0.1;179479373;0.1;5000000;0;1;10;2;4.002;4.45396;0;0;0;16.012;16.1557;0;./core_0/sim_stress_23_3_2019_044555_179167376
0.02;0.9;0.02;0.5;10;0.2;100;0.5;1;0;0;1;100;0.3;5000;2;0.5;0;0.02;0;0.1;485880778;0.1;5000000;0;1;10;2;4.872;5.42648;0;0;0;20.4716;20.5915;0;./core_1/sim_stress_23_3_2019_000856_485211847
0.02;0.9;0.02;0.5;10;0.2;100;0.5;1;0;0;1;100;0.4;5000;2;0.5;0;0.02;0;0.1;361768377;0.1;5000000;0;1;10;2;5.98;6.64988;0;0;0;23.9596;24.1228;0;./core_1/sim_stress_23_3_2019_004225_361415088
0.02;0.9;0.02;0.5;10;0.3;100;0.5;1;0;0;1;100;0;5000;2;0.5;0;0.02;0;0.1;315751040;0.1;5000000;0;1;10;2;2;2.22222;0;0;0;0;-1.4424e-12;0;./core_1/sim_stress_23_3_2019_011630_268367181
0.02;0.9;0.02;0.5;10;0.3;100;0.5;1;0;0;1;100;0.05;5000;2;0.5;0;0.02;0;0.1;933769654;0.1;5000000;0;1;10;2;2.462;2.74359;0;0;0;4.40656;4.43911;0;./core_1/sim_stress_23_3_2019_014547_923207865
0.02;0.9;0.02;0.5;10;0.3;100;0.5;1;0;0;1;100;0.1;5000;2;0.5;0;0.02;0;0.1;638842653;0.1;5000000;0;1;10;2;3.02;3.34798;0;0;0;9.1596;9.24501;0;./core_1/sim_stress_23_3_2019_021542_623056682
0.02;0.9;0.02;0.5;10;0.3;100;0.5;1;0;0;1;100;0.2;5000;2;0.5;0;0.02;0;0.1;3100937;0.1;5000000;0;1;10;2;4.108;4.54973;0;0;0;16.6363;16.7657;0;./core_1/sim_stress_23_3_2019_024556_970084720
0.02;0.9;0.02;0.5;10;0.3;100;0.5;1;0;0;1;100;0.3;5000;2;0.5;0;0.02;0;0.1;635251934;0.1;5000000;0;1;10;2;4.944;5.50316;0;0;0;20.7729;21.0142;0;./core_1/sim_stress_23_3_2019_031744_621840888
0.02;0.9;0.02;0.5;10;0.3;100;0.5;1;0;0;1;100;0.4;5000;2;0.5;0;0.02;0;0.1;720934695;0.1;5000000;0;1;10;2;6.032;6.70111;0;0;0;24.063;24.312;0;./core_1/sim_stress_23_3_2019_035042_706673679
0.02;0.9;0.02;0.5;10;0.4;100;0.5;1;0;0;1;100;0;5000;2;0.5;0;0.02;0;0.1;326809500;0.1;5000000;0;1;10;2;2;2.22222;0;0;0;0;-1.4424e-12;0;./core_1/sim_stress_23_3_2019_042445_326404534
0.02;0.9;0.02;0.5;10;0.4;100;0.5;1;0;0;1;100;0.05;5000;2;0.5;0;0.02;0;0.1;443197947;0.1;5000000;0;1;10;2;2.436;2.71767;0;0;0;4.1699;4.24266;0;./core_1/sim_stress_23_3_2019_045346_442908577
0.02;0.9;0.02;0.5;10;0.4;100;0.5;1;0;0;1;100;0.1;5000;2;0.5;0;0.02;0;0.1;679080894;0.1;5000000;0;1;10;2;3.034;3.36231;0;0;0;9.27084;9.31583;0;./core_2/sim_stress_23_3_2019_000858_678554019
0.02;0.9;0.02;0.5;10;0.4;100;0.5;1;0;0;1;100;0.2;5000;2;0.5;0;0.02;0;0.1;916945172;0.1;5000000;0;1;10;2;3.98;4.42491;0;0;0;15.8796;16.1717;0;./core_2/sim_stress_23_3_2019_003916_916672381
0.02;0.9;0.02;0.5;10;0.4;100;0.5;1;0;0;1;100;0.3;5000;2;0.5;0;0.02;0;0.1;996051859;0.1;5000000;0;1;10;2;5.082;5.63576;0;0;0;21.3213;21.6005;0;./core_2/sim_stress_23_3_2019_011057_995619666
0.02;0.9;0.02;0.5;10;0.4;100;0.5;1;0;0;1;100;0.4;5000;2;0.5;0;0.02;0;0.1;172593525;0.1;5000000;0;1;10;2;5.982;6.6483;0;0;0;23.9637;24.1454;0;./core_2/sim_stress_23_3_2019_014354_172311024
