
t	hormone
0	359
1	359
2	359
3	359
4	359
5	359
6	359
7	359
8	359
9	359
10	359
11	359
12	359
13	359
14	359
15	359
16	359
17	359
18	359
19	359
20	359
21	359
22	359
23	359
24	359
25	359
26	359
27	359
28	359
29	359
30	359
31	359
32	359
33	359
34	359
35	359
36	359
37	359
38	359
39	359
40	359
41	359
42	359
43	359
44	359
45	359
46	359
47	359
48	359
49	359
50	359
51	359
52	359
53	359
54	359
55	359
56	359
57	359
58	359
59	359
60	359
61	359
62	359
63	359
64	359
65	359
66	359
67	359
68	359
69	359
70	359
71	359
72	359
73	359
74	359
75	359
76	359
77	359
78	359
79	359
80	359
81	359
82	359
83	359
84	359
85	359
86	359
87	359
88	359
89	359
90	359
91	359
92	359
93	359
94	359
95	359
96	359
97	359
98	359
99	359
100	359
101	359
102	359
103	359
104	359
105	359
106	359
107	359
108	359
109	359
110	359
111	359
112	359
113	359
114	359
115	359
116	359
117	359
118	359
119	359
120	359
121	359
122	359
123	359
124	359
125	359
126	359
127	359
128	359
129	359
130	359
131	359
132	359
133	359
134	359
135	359
136	359
137	359
138	359
139	359
140	359
141	359
142	359
143	359
144	359
145	359
146	359
147	359
148	359
149	359
150	359
151	359
152	359
153	359
154	359
155	359
156	359
157	359
158	359
159	359
160	359
161	359
162	359
163	359
164	359
165	359
166	359
167	359
168	359
169	359
170	359
171	359
172	359
173	359
174	359
175	359
176	359
177	359
178	359
179	359
180	359
181	359
182	359
183	359
184	359
185	359
186	359
187	359
188	359
189	359
190	359
191	359
192	359
193	359
194	359
195	359
196	359
197	359
198	359
199	359



pLeave 	0.95
pArrive 	0.05
pAttack 	0.5
maxI 	1000000
maxT 	200
maxH 	1000
