
t	hormone
0	999
1	999
2	999
3	999
4	999
5	999
6	999
7	999
8	999
9	414
10	392
11	382
12	378
13	376
14	375
15	375
16	375
17	375
18	375
19	375
20	375
21	375
22	375
23	375
24	375
25	375
26	375
27	375
28	375
29	375
30	375
31	375
32	375
33	375
34	375
35	375
36	375
37	375
38	375
39	375
40	375
41	375
42	375
43	375
44	375
45	375
46	375
47	375
48	375
49	375
50	375
51	375
52	375
53	375
54	375
55	375
56	375
57	375
58	375
59	375
60	375
61	375
62	375
63	375
64	375
65	375
66	375
67	375
68	375
69	375
70	375
71	375
72	375
73	375
74	375
75	375
76	375
77	375
78	375
79	375
80	375
81	375
82	375
83	375
84	375
85	375
86	375
87	375
88	375
89	375
90	375
91	375
92	375
93	375
94	375
95	375
96	375
97	375
98	375
99	375
100	375
101	375
102	375
103	375
104	375
105	375
106	375
107	375
108	375
109	375
110	375
111	375
112	375
113	375
114	375
115	375
116	375
117	375
118	375
119	375
120	375
121	375
122	375
123	375
124	375
125	375
126	375
127	375
128	375
129	375
130	375
131	375
132	375
133	375
134	375
135	375
136	375
137	375
138	375
139	375
140	375
141	375
142	375
143	375
144	375
145	375
146	375
147	375
148	375
149	375
150	375
151	375
152	375
153	375
154	375
155	375
156	375
157	375
158	375
159	375
160	375
161	375
162	375
163	375
164	375
165	375
166	375
167	375
168	375
169	375
170	375
171	375
172	375
173	375
174	375
175	375
176	375
177	375
178	375
179	375
180	375
181	375
182	375
183	375
184	375
185	375
186	375
187	375
188	375
189	375
190	375
191	375
192	375
193	375
194	375
195	375
196	375
197	375
198	375
199	375



pLeave 	0.095
pArrive 	0.005
pAttack 	0.5
maxI 	1000000
maxT 	200
maxH 	1000
