Random seed: 1589966532

t	hormone
0	444
1	444
2	444
3	444
4	444
5	444
6	444
7	444
8	444
9	444
10	444
11	444
12	444
13	444
14	444
15	444
16	444
17	444
18	444
19	444
20	444
21	444
22	444
23	444
24	444
25	444
26	444
27	444
28	444
29	444
30	444
31	444
32	444
33	444
34	444
35	444
36	444
37	444
38	444
39	444
40	444
41	444
42	444
43	444
44	444
45	444
46	444
47	444
48	444
49	444
50	444
51	444
52	444
53	444
54	444
55	444
56	444
57	444
58	444
59	444
60	444
61	444
62	444
63	444
64	444
65	444
66	444
67	444
68	444
69	444
70	444
71	444
72	444
73	444
74	444
75	444
76	444
77	444
78	444
79	444
80	444
81	444
82	444
83	444
84	444
85	444
86	444
87	444
88	444
89	444
90	444
91	444
92	444
93	444
94	444
95	444
96	444
97	444
98	444
99	444
100	444
101	444
102	444
103	444
104	444
105	444
106	444
107	444
108	444
109	444
110	444
111	444
112	444
113	444
114	444
115	444
116	444
117	444
118	444
119	444
120	444
121	444
122	444
123	444
124	444
125	444
126	444
127	444
128	444
129	444
130	444
131	444
132	444
133	444
134	444
135	444
136	444
137	444
138	444
139	444
140	444
141	444
142	444
143	444
144	444
145	444
146	444
147	444
148	444
149	444
150	444
151	444
152	444
153	444
154	444
155	444
156	444
157	444
158	444
159	444
160	444
161	444
162	444
163	444
164	444
165	444
166	444
167	444
168	444
169	444
170	444
171	444
172	444
173	444
174	444
175	444
176	444
177	444
178	444
179	444
180	444
181	444
182	444
183	444
184	444
185	444
186	444
187	444
188	444
189	444
190	444
191	444
192	444
193	444
194	444
195	444
196	444
197	444
198	444
199	444

nIterations	853


PARAMETER VALUES
pLeave: 	0.9
pArrive: 	0.1
pAttack: 	0.5
maxI: 	1000000
maxT: 	200
maxH: 	1000
