Random seed: 1581581192

t	hormone
0	999
1	999
2	999
3	999
4	999
5	999
6	999
7	999
8	790
9	521
10	414
11	369
12	349
13	340
14	336
15	334
16	333
17	333
18	332
19	332
20	332
21	332
22	332
23	332
24	332
25	332
26	332
27	332
28	332
29	332
30	332
31	332
32	332
33	332
34	332
35	332
36	332
37	332
38	332
39	332
40	332
41	332
42	332
43	332
44	332
45	332
46	332
47	332
48	332
49	332
50	332
51	332
52	332
53	332
54	332
55	332
56	332
57	332
58	332
59	332
60	332
61	332
62	332
63	332
64	332
65	332
66	332
67	332
68	332
69	332
70	332
71	332
72	332
73	332
74	332
75	332
76	332
77	332
78	332
79	332
80	332
81	332
82	332
83	332
84	332
85	332
86	332
87	332
88	332
89	332
90	332
91	332
92	332
93	332
94	332
95	332
96	332
97	332
98	332
99	332
100	332
101	332
102	332
103	332
104	332
105	332
106	332
107	332
108	332
109	332
110	332
111	332
112	332
113	332
114	332
115	332
116	332
117	332
118	332
119	332
120	332
121	332
122	332
123	332
124	332
125	332
126	332
127	332
128	332
129	332
130	332
131	332
132	332
133	332
134	332
135	332
136	332
137	332
138	332
139	332
140	332
141	332
142	332
143	332
144	332
145	332
146	332
147	332
148	332
149	332
150	332
151	332
152	332
153	332
154	332
155	332
156	332
157	332
158	332
159	332
160	332
161	332
162	332
163	332
164	332
165	332
166	332
167	332
168	332
169	332
170	332
171	332
172	332
173	332
174	332
175	332
176	332
177	332
178	332
179	332
180	332
181	332
182	332
183	332
184	332
185	332
186	332
187	332
188	332
189	332
190	332
191	332
192	332
193	332
194	332
195	332
196	332
197	332
198	332
199	332

nIterations	3257


PARAMETER VALUES
pLeave: 	0.09
pArrive: 	0.01
pAttack: 	0.5
maxI: 	1000000
maxT: 	200
maxH: 	1000
