t	hormone
0	999
1	999
2	999
3	999
4	999
5	999
6	894
7	534
8	410
9	364
10	346
11	339
12	336
13	335
14	335
15	334
16	334
17	334
18	334
19	334
20	334
21	334
22	334
23	334
24	334
25	334
26	334
27	334
28	334
29	334
30	334
31	334
32	334
33	334
34	334
35	334
36	334
37	334
38	334
39	334
40	334
41	334
42	334
43	334
44	334
45	334
46	334
47	334
48	334
49	334
50	334
51	334
52	334
53	334
54	334
55	334
56	334
57	334
58	334
59	334
60	334
61	334
62	334
63	334
64	334
65	334
66	334
67	334
68	334
69	334
70	334
71	334
72	334
73	334
74	334
75	334
76	334
77	334
78	334
79	334
80	334
81	334
82	334
83	334
84	334
85	334
86	334
87	334
88	334
89	334
90	334
91	334
92	334
93	334
94	334
95	334
96	334
97	334
98	334
99	334
100	334
101	334
102	334
103	334
104	334
105	334
106	334
107	334
108	334
109	334
110	334
111	334
112	334
113	334
114	334
115	334
116	334
117	334
118	334
119	334
120	334
121	334
122	334
123	334
124	334
125	334
126	334
127	334
128	334
129	334
130	334
131	334
132	334
133	334
134	334
135	334
136	334
137	334
138	334
139	334
140	334
141	334
142	334
143	334
144	334
145	334
146	334
147	334
148	334
149	334
150	334
151	334
152	334
153	334
154	334
155	334
156	334
157	334
158	334
159	334
160	334
161	334
162	334
163	334
164	334
165	334
166	334
167	334
168	334
169	334
170	334
171	334
172	334
173	334
174	334
175	334
176	334
177	334
178	334
179	334
180	334
181	334
182	334
183	334
184	334
185	334
186	334
187	334
188	334
189	334
190	334
191	334
192	334
193	334
194	334
195	334
196	334
197	334
198	334
199	334



pLeave 	0.19
pArrive 	0.01
pAttack 	0.5
maxI 	1000000
maxT 	200
maxH 	1000
