
t	hormone
0	685
1	685
2	685
3	685
4	685
5	685
6	685
7	685
8	685
9	685
10	685
11	685
12	685
13	685
14	685
15	685
16	685
17	685
18	685
19	685
20	685
21	685
22	685
23	685
24	685
25	685
26	685
27	685
28	685
29	685
30	685
31	685
32	685
33	685
34	685
35	685
36	685
37	685
38	685
39	685
40	685
41	685
42	685
43	685
44	685
45	685
46	685
47	685
48	685
49	685
50	685
51	685
52	685
53	685
54	685
55	685
56	685
57	685
58	685
59	685
60	685
61	685
62	685
63	685
64	685
65	685
66	685
67	685
68	685
69	685
70	685
71	685
72	685
73	685
74	685
75	685
76	685
77	685
78	685
79	685
80	685
81	685
82	685
83	685
84	685
85	685
86	685
87	685
88	685
89	685
90	685
91	685
92	685
93	685
94	685
95	685
96	685
97	685
98	685
99	685
100	685
101	685
102	685
103	685
104	685
105	685
106	685
107	685
108	685
109	685
110	685
111	685
112	685
113	685
114	685
115	685
116	685
117	685
118	685
119	685
120	685
121	685
122	685
123	685
124	685
125	685
126	685
127	685
128	685
129	685
130	685
131	685
132	685
133	685
134	685
135	685
136	685
137	685
138	685
139	685
140	685
141	685
142	685
143	685
144	685
145	685
146	685
147	685
148	685
149	685
150	685
151	685
152	685
153	685
154	685
155	685
156	685
157	685
158	685
159	685
160	685
161	685
162	685
163	685
164	685
165	685
166	685
167	685
168	685
169	685
170	685
171	685
172	685
173	685
174	685
175	685
176	685
177	685
178	685
179	685
180	685
181	685
182	685
183	685
184	685
185	685
186	685
187	685
188	685
189	685
190	685
191	685
192	685
193	685
194	685
195	685
196	685
197	685
198	685
199	685



pLeave 	0.9
pArrive 	0.1
pAttack 	0.5
maxI 	1000000
maxT 	200
maxH 	1000
